school_code,school_name,municipality,lat,lon,primary_station,primary_distance_m,primary_lines,source,access_stations,access_lines
404910,赤羽北桜,北区,35.769939,139.708984,本蓮沼,629,東京都 6号線三田線,算出,本蓮沼(629m);板橋本町(1029m);赤羽(1378m);志村坂上(1470m);十条(1600m);東十条(1740m);赤羽岩淵(1905m);北赤羽(1915m),東京都 6号線三田線;東日本旅客鉄道 赤羽線;東日本旅客鉄道 東北線;埼玉高速鉄道 埼玉高速鉄道線;東京地下鉄 7号線南北線
405040,白鴎,台東区,35.708439,139.78302,新御徒町,186,首都圏新都市鉄道 常磐新線;東京都 12号線大江戸線,算出,新御徒町(186m);稲荷町(339m);仲御徒町(648m);田原町(681m);御徒町(763m);上野(829m);蔵前(901m);上野広小路(912m);上野御徒町(914m);浅草(1162m);末広町(1191m);湯島(1192m);浅草橋(1237m);入谷(1368m);秋葉原(1377m);鶯谷(1516m);岩本町(1592m);馬喰町(1680m);両国(1753m);馬喰横山(1820m);根津(1846m);東日本橋(1867m);御茶ノ水(1899m);本所吾妻橋(1937m),首都圏新都市鉄道 常磐新線;東京都 12号線大江戸線;東京地下鉄 3号線銀座線;東京地下鉄 2号線日比谷線;東日本旅客鉄道 東北線;京成電鉄 本線;東日本旅客鉄道 東北新幹線;東京都 1号線浅草線;東武鉄道 伊勢崎線;東京地下鉄 9号線千代田線;東日本旅客鉄道 総武線;東京都 10号線新宿線;東京地下鉄 4号線丸ノ内線;東日本旅客鉄道 中央線
405050,忍岡,台東区,35.700806,139.783218,浅草橋,420,東京都 1号線浅草線;東日本旅客鉄道 総武線,算出,浅草橋(420m);新御徒町(690m);馬喰町(834m);蔵前(863m);秋葉原(872m);仲御徒町(909m);岩本町(923m);馬喰横山(971m);東日本橋(1021m);御徒町(1046m);末広町(1058m);稲荷町(1182m);上野広小路(1195m);田原町(1199m);両国(1208m);上野御徒町(1225m);小伝馬町(1227m);湯島(1368m);浜町(1429m);神田(1453m);上野(1463m);新日本橋(1547m);淡路町(1569m);小川町(1615m);人形町(1629m);浅草(1659m);新御茶ノ水(1661m);御茶ノ水(1664m);三越前(1864m);森下(1956m);水天宮前(1982m),東京都 1号線浅草線;東日本旅客鉄道 総武線;首都圏新都市鉄道 常磐新線;東京都 12号線大江戸線;東京地下鉄 2号線日比谷線;東日本旅客鉄道 東北線;東京都 10号線新宿線;東京地下鉄 3号線銀座線;東京地下鉄 9号線千代田線;東日本旅客鉄道 中央線;京成電鉄 本線;東日本旅客鉄道 東北新幹線;東京地下鉄 4号線丸ノ内線;東武鉄道 伊勢崎線;東京地下鉄 11号線半蔵門線
405060,上野,台東区,35.719238,139.769653,根津,412,東京地下鉄 9号線千代田線,算出,根津(412m);鶯谷(795m);上野(925m);千駄木(941m);日暮里(990m);東大前(1075m);上野御徒町(1287m);上野広小路(1328m);入谷(1354m);湯島(1385m);御徒町(1415m);稲荷町(1423m);西日暮里(1518m);仲御徒町(1519m);本駒込(1542m);本郷三丁目(1581m);白山(1588m);三河島(1714m);新御徒町(1770m);末広町(1833m);春日(1896m),東京地下鉄 9号線千代田線;東日本旅客鉄道 東北線;京成電鉄 本線;東京地下鉄 2号線日比谷線;東京地下鉄 3号線銀座線;東日本旅客鉄道 東北新幹線;東日本旅客鉄道 常磐線;東京都 日暮里・舎人ライナー;東京地下鉄 7号線南北線;東京都 12号線大江戸線;東京地下鉄 4号線丸ノ内線;東京都 6号線三田線;首都圏新都市鉄道 常磐新線
405070,竹台,荒川区,35.726013,139.77774,鶯谷,508,東日本旅客鉄道 東北線,算出,鶯谷(508m);日暮里(636m);三河島(817m);入谷(855m);西日暮里(1206m);三ノ輪(1265m);荒川区役所前(1280m);千駄木(1297m);新三河島(1300m);荒川一中前(1314m);三ノ輪橋(1421m);根津(1451m);荒川二丁目(1534m);上野(1557m);稲荷町(1672m);町屋(1827m);荒川七丁目(1867m);町屋駅前(1884m);田端(1937m);町屋二丁目(1994m);東大前(2000m),東日本旅客鉄道 東北線;京成電鉄 本線;東日本旅客鉄道 常磐線;東京都 日暮里・舎人ライナー;東京地下鉄 2号線日比谷線;東京地下鉄 9号線千代田線;東京都 荒川線;東京地下鉄 3号線銀座線;東日本旅客鉄道 東北新幹線;東日本旅客鉄道 山手線;東京地下鉄 7号線南北線
405210,足立,足立区,35.770123,139.80423,梅島,608,東武鉄道 伊勢崎線,算出,梅島(608m);五反野(676m);青井(1460m);小菅(1481m);西新井(1483m),東武鉄道 伊勢崎線;首都圏新都市鉄道 常磐新線;東武鉄道 大師線
405220,江北,足立区,35.767418,139.821213,青井,517,首都圏新都市鉄道 常磐新線,算出,青井(517m);綾瀬(667m);五反野(1059m);小菅(1241m);北綾瀬(1440m);六町(1931m),首都圏新都市鉄道 常磐新線;東京地下鉄 9号線千代田線;東日本旅客鉄道 常磐線;東武鉄道 伊勢崎線
405230,淵江,足立区,35.791786,139.811951,六町,1182,首都圏新都市鉄道 常磐新線,算出,六町(1182m);竹ノ塚(1936m),首都圏新都市鉄道 常磐新線;東武鉄道 伊勢崎線
405240,足立西,足立区,35.776588,139.768051,江北,374,東京都 日暮里・舎人ライナー,算出,江北(374m);西新井大師西(542m);高野(957m);大師前(1255m);谷在家(1357m);扇大橋(1408m),東京都 日暮里・舎人ライナー;東武鉄道 大師線
405250,足立東,足立区,35.781078,139.844772,亀有,1636,東日本旅客鉄道 常磐線,手動,亀有(1636m);北綾瀬(1235m),東日本旅客鉄道 常磐線;東京地下鉄 9号線千代田線
